t,x,y,z,yaw
1788516085.812009,1.133571,0.744721,0.377732,-0.107467
1788516085.880845,1.129933,0.743634,0.370941,-0.090190
1788516085.945997,1.124941,0.742005,0.363667,-0.072219
1788516086.012995,1.118535,0.735973,0.362057,-0.053959
1788516086.079973,1.111920,0.728779,0.358298,-0.038935
1788516086.146997,1.107550,0.725755,0.355803,-0.027619
1788516086.214118,1.100474,0.721629,0.350910,-0.018074
1788516086.280962,1.088777,0.716154,0.346210,-0.012895
1788516086.347866,1.085468,0.715945,0.347048,-0.015462
1788516086.414732,1.085227,0.712416,0.348012,-0.021264
1788516086.481906,1.073270,0.709619,0.341525,-0.034233
1788516086.548865,1.060693,0.706763,0.333473,-0.048295
1788516086.615838,1.051833,0.709285,0.328536,-0.064807
1788516086.682833,1.045887,0.718289,0.327704,-0.079659
1788516086.749900,1.035417,0.726639,0.325581,-0.090591
1788516086.816799,1.025745,0.734682,0.321218,-0.098672
1788516086.883713,1.017932,0.746885,0.317417,-0.105236
1788516086.950773,1.007574,0.757522,0.312690,-0.108468
1788516087.017613,1.001374,0.769680,0.310170,-0.110626
1788516087.084659,0.993402,0.780126,0.306115,-0.111141
1788516087.151700,0.987027,0.792398,0.302069,-0.110813
1788516087.218735,0.984125,0.806207,0.300990,-0.109798
1788516087.285680,0.981324,0.818712,0.299456,-0.106041
1788516087.352686,0.980106,0.829188,0.301260,-0.101753
1788516087.419620,0.979701,0.838595,0.305206,-0.096878
1788516087.486519,0.979900,0.846124,0.304857,-0.092328
1788516087.553432,0.978516,0.849229,0.304388,-0.087700
1788516087.620562,0.980190,0.849545,0.305411,-0.084547
1788516087.687587,0.984989,0.850281,0.310925,-0.083944
1788516087.754735,0.989334,0.850677,0.319503,-0.084646
1788516087.821388,0.994419,0.848075,0.323488,-0.085778
1788516087.888546,1.002744,0.844700,0.332403,-0.088582
1788516087.955434,1.006582,0.839954,0.330615,-0.091371
1788516088.022449,1.006333,0.835918,0.329679,-0.094213
1788516088.089265,1.005488,0.831524,0.328267,-0.096028
1788516088.156476,1.007962,0.831455,0.332612,-0.099518
1788516088.223435,1.008401,0.830580,0.332718,-0.100894
1788516088.290388,1.008273,0.830442,0.333015,-0.103037
1788516088.357398,1.009941,0.832001,0.333842,-0.104320
1788516088.424376,1.012136,0.835850,0.338642,-0.104450
1788516088.491416,1.014198,0.840111,0.341270,-0.102857
1788516088.558335,1.015676,0.843459,0.341611,-0.099161
1788516088.625144,1.016698,0.844538,0.341971,-0.095100
1788516088.692270,1.017626,0.847464,0.344206,-0.092600
1788516088.759272,1.022304,0.849747,0.344250,-0.089488
1788516088.826263,1.018817,0.848920,0.342062,-0.082939
1788516088.893280,1.009262,0.848917,0.343713,-0.077388
1788516088.960270,1.014912,0.852545,0.342945,-0.074673
1788516089.027148,0.997971,0.845730,0.338720,-0.065349
1788516089.094147,0.969393,0.845051,0.333766,-0.060784
1788516089.161031,0.960055,0.845835,0.327839,-0.061321
1788516089.228101,0.942334,0.847710,0.323454,-0.063420
1788516089.295419,0.921362,0.848317,0.319552,-0.066585
1788516089.362200,0.906761,0.850312,0.320434,-0.073477
1788516089.433180,0.892699,0.857972,0.318364,-0.082943
1788516089.496309,0.870881,0.861664,0.312078,-0.089215
1788516089.562957,0.851454,0.866164,0.308814,-0.094855
1788516089.629988,0.836783,0.869674,0.309328,-0.098241
1788516089.696826,0.816625,0.870632,0.301405,-0.099345
1788516089.764259,0.800279,0.876321,0.295183,-0.101582
1788516089.831013,0.794113,0.881453,0.298072,-0.102690
1788516089.897993,0.792200,0.886567,0.304220,-0.103356
1788516089.964972,0.792306,0.890437,0.311961,-0.102861
1788516090.031956,0.789276,0.891812,0.312697,-0.099914
1788516090.098970,0.790192,0.892711,0.319421,-0.098372
1788516090.165846,0.793599,0.893579,0.318882,-0.099558
1788516090.232703,0.793963,0.893654,0.326089,-0.101509
1788516090.299833,0.793926,0.892451,0.326222,-0.105056
1788516090.366842,0.794014,0.890333,0.330022,-0.109287
1788516090.433825,0.793666,0.887456,0.328770,-0.112620
1788516090.500828,0.793073,0.886656,0.324408,-0.116747
1788516090.567832,0.791872,0.886861,0.327707,-0.121348
1788516090.634825,0.787893,0.886137,0.319665,-0.126433
1788516090.701724,0.786131,0.889895,0.308556,-0.134356
1788516090.768543,0.785110,0.895626,0.307199,-0.141638
1788516090.835690,0.784725,0.901515,0.305680,-0.147452
1788516090.902669,0.784371,0.908314,0.302999,-0.150765
